review_text,true_label,Predicted Label,type
"The 12.8-inch screen is nice, but the 15.6-inch upgrade on the Ultra is what everyone actually wants. 📺💎",positive,positive,byd
"Rear seats comfy, long drive no backache at all",positive,positive,byd
Love the cabin vibes 🛋️ ambient lighting = aesthetic ✨,positive,positive,byd
"BYD steering accurate, EMAS loose feel",positive,positive,byd
The Atlas Batman tires are absolute rubbish in the rain. Skidded slightly at a roundabout yesterday. 🌧️🛞,negative,negative,byd
"Cabin quiet, can enjoy music or podcast freely",positive,positive,byd
Tires squeak a bit on turns 😑 kinda annoying,negative,negative,byd
"12V battery died at month 14. For an EV this advanced, having such a weak starter battery is a joke. 🔋💢",negative,negative,byd
The DiLink system is basically Android. Sideloaded YouTube and it works perfectly. 📺⚡️,positive,positive,byd
"Range anxiety is real at first, but once you get a home wallbox, life is easy peasy. 🏡⚡️",positive,neutral,byd
"BYD charging fast, Proton slower refill",positive,positive,byd
Battery reliable for daily commute and weekend trips,positive,positive,byd
Some voice commands don’t work 😑 frustration level high,negative,negative,byd
AC barely cools in heat 🥵 big oof,negative,negative,byd
I actually like the guitar strings on the doors. Good conversation starter for passengers! 🎸🗣️,positive,positive,byd
It’s a bit wide. I almost clipped my side mirror in a tight older parking lot. 📏😰,neutral,negative,byd
360km real-world range is more than enough for my weekly commute. I only charge once every 5 days. 🔌📅,positive,positive,byd
"Charging at home is so much cheaper than petrol. My ""fuel bill"" dropped from RM500 to RM60. 💸🔌",positive,positive,byd
"Exterior styling modern, friends always notice it",positive,positive,byd
"Cabin BYD quiet, Myvi engine sound annoying af",positive,positive,byd
The new black interior makes the car look much more expensive than it is. 🖤💎,positive,positive,byd
Torque steer on this thing is wild. Floor it and the car wants to go into the ditch. 🏎️〰️,negative,negative,byd
The 15.6 inch screen is a fingerprint magnet. I have to wipe it every day. 📱🧼,negative,negative,byd
"Regenerative braking is too weak, even on ""High"" mode. I still have to use the brake pedal constantly. 🛑🦶",negative,negative,byd
"88kW DC charging is ""good enough."" 40 minutes for a grocery run and I'm back to 80%. 🔌🛒",positive,positive,byd
Why is the wireless charger so slow? It just makes my phone hot without actually adding much percentage. 🔥📱,negative,negative,byd
The door handles are so weird. My passengers always try to pull them the wrong way. 🚪🤨,neutral,negative,byd
"Acceleration feels natural, not jerky at all",positive,positive,byd
"BYD handling light, EMAS feels heavy",positive,positive,byd
"The steering feels too ""artificial."" There is zero connection to the road. 🎮☁️",negative,negative,byd
"No ""One-Pedal Driving"" is a big miss. It’s the best part of driving an EV and BYD left it out. 🛑🦶",negative,neutral,byd
"V2L charging handy, no more hunting for plugs",positive,positive,byd
"AC strong, front cabin very comfortable 🥶",positive,positive,byd
Atto 3 is the EV that made Malaysia switch from petrol. It’s a pioneer. ⚡️🇲🇾,positive,positive,byd
"Picked up the ""Boulder Grey."" Looks super stealthy and stays clean longer than white. 🩶🏙️",positive,positive,byd
420km WLTP is enough for my weekly commute. Only need to charge once every 5 days. 🔋🏙️,positive,positive,byd
"Infotainment sometimes crashes, small rage moment 😤",negative,negative,byd
Picked up my Atto today! The blue color is stunning under the sun. Can't stop staring. 😍💎,positive,positive,byd
"Lane Departure Warning is too aggressive. It ""vibes"" the steering wheel for no reason. 📳🙄",negative,negative,byd
"The seats are so soft, it's like driving a giant marshmallow. Perfect for my back. ☁️🛋️",positive,positive,byd
"Atto 3 Ultra has better noise insulation than the eMAS 7. On the highway at 110km/h, it’s library quiet. 🤫🛣️",positive,positive,byd
"That ""Build Your Dreams"" wording on the back is gone in the 2024 model. Finally! Looks much cleaner. ✨👌",positive,positive,byd
Exterior paint looks polished even after months,positive,positive,byd
Why no head-up display (HUD)? Even the cheaper models in China have it. 📉👀,negative,negative,byd
"The Atto 3 feels more futuristic. Every time I get in, it feels like I’m in a sci-fi movie. 🚀📽️",positive,positive,byd
Car feels heavier than expected 🚗 awkward parking 😑,negative,negative,byd
Cabin spacious for weekend trip luggage,positive,positive,byd
Ventilated seats in the Atto 3 Ultra are a lifesaver. Proton only offers them on the highest spec for more money. ❄️🪑,positive,positive,byd
"My car keeps screaming ""For your safety, please turn off high beam"" every time I enter a well-lit roundabout. So annoying! 🗣️😫",negative,negative,byd
Rear camera glare in sunny conditions,negative,negative,byd
"Cabin layout clean, all buttons accessible 😎",positive,positive,byd
The new 18-inch rims look way more premium than the old tri-color ones. Very sleek. 🛞✨,positive,positive,byd
Sleek exterior design fr 😎 got compliments everywhere I park,positive,positive,byd
2 years later and still loving it. The best purchase I've made for my daily commute. ⚡️🥳,positive,positive,byd
BYD's customer service followed up with me three times after my purchase. Great experience. 🤵‍♂️📞,positive,positive,byd
"My 12V battery died again. Turns out it was a door sensor fault, not the battery itself. 🚪🔋",negative,negative,byd
ADAS on the Atto 3 is well-tuned for KL traffic. Proton’s ACC is still a bit jerky in start-stop jams. 🚦🤖,positive,positive,byd
Sensors misread sometimes 😑 minor stress 😭,negative,negative,byd
Rear seats are a bit upright. My parents complained about back pain after a 3-hour drive to Penang. 🛋️😫,negative,negative,byd
Touchscreen lags occasionally 😤 so frustrating,negative,negative,byd
Brake pedal stiff 😬 not smooth 😭 minor annoyance,negative,negative,byd
My panoramic sunroof sunshade got stuck. Had to drive to the SC with the sun cooking me. ☀️🥵,negative,negative,byd
"AC airflow strong and consistent, everyone comfy",positive,positive,byd
"Battery reliable, no range anxiety even on highway",positive,positive,byd
"""Space inside very comfortable, my family can fit nicely even with 3 kids.""",positive,positive,byd
"The car is very heavy, so the brake pads wear out faster than my old Myvi. ⚖️🛑",negative,negative,byd
"Dashboard BYD intuitive, Myvi need time to adapt",positive,positive,byd
Road noise is noticeable at 100km/h 😬,negative,negative,byd
"Exterior design sleek, modern and stylish 🔥",positive,positive,byd
Infotainment crashes 😤 stress mode activated 😭,negative,negative,byd
"Smooth braking 🛑 premium feel, love the control",positive,positive,byd
"My rear wiper motor failed after 6 months. Minor issue, but still annoying for a new car. 🌧️🛠️",negative,negative,byd
Steering feedback inconsistent at low speeds,negative,negative,byd
"AC vents weak on passenger side, uncomfortable 😬",negative,negative,byd
Car feels sluggish on steep hills 😭 expected more ⚡,negative,negative,byd
Smooth steering = buttery feel 🧈 big fan of EV life 😌,positive,positive,byd
"BYD battery reliable, EMAS fuel guzzles more",positive,positive,byd
Indicator sound sounds like a toy heart. Why can't we change it to a normal click? 💓🧸,negative,neutral,byd
No automatic wipers in 2025 is honestly a joke. Even a Myvi has it. 🤡🌧️,negative,negative,byd
The dashboard material is a bit squishy and weird. Feels like a yoga mat. 🧘‍♂️🤨,neutral,negative,byd
"DiLink system is so snappy. No lag even when running Waze, Spotify, and Dashcam together. 🖥️⚡️",positive,positive,byd
"Cabin layout BYD modern, EMAS simple too much",positive,positive,byd
Built like a tank. Someone bumped me from behind and there wasn't even a scratch. 🛡️🚙,positive,positive,byd
Cabin quiet even on bumpy roads,positive,positive,byd
Piano black plastics are already scratched up after 2 weeks. Material quality could be better. 😒🪞,negative,negative,byd
"Range anxiety is real. When the battery hits 10%, the car starts panicking and so do I. 🔋😰",negative,negative,byd
"""Hey BYD"" voice control actually works well for the AC and sunroof. Beats digging through menus. 🗣️🎙️",positive,positive,byd
"Black interior is way more ""matured"" than the blue/white. Glad BYD finally listened. 🖤🙌",positive,positive,byd
"Car feels heavy in city traffic, parking sus",negative,negative,byd
App features occasionally lag or freeze,negative,negative,byd
"""Acceleration smooth, no jerky feeling. Very confidence driving through highway.""",positive,positive,byd
"Battery reliable, no range anxiety even on long drives",positive,positive,byd
"Myvi okay lah but BYD cabin quiet and comfy, love it more",positive,positive,byd
"BYD interior high-end feel, EMAS ordinary only",positive,positive,byd
Digital key on the phone means I can leave my wallet and keys at home. True freedom! 📱🔓,positive,positive,byd
"BYD interior feels premium, Proton Persona basic only",positive,positive,byd
"My 12V battery gave up at 21,000km. Service center said it's out of warranty. RM400 for a tiny battery? Ridiculous. 🔋💸",negative,negative,byd
"Overall satisfied with value, good car for the price",positive,positive,byd
No physical buttons for the AC is a crime. Using a screen while driving is dangerous. 🚫📱,negative,negative,byd
Why get the eMAS 7 when the Atto 3 Ultra is now the same price? You get a globally proven brand vs. a first-timer. 🌍🥇,positive,positive,byd
